Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,ConceptNum,Acronym,FloraPage,Scientific_name_auths
Dicotyledons,Orobanchaceae,Triphysaria versicolor,Accepted,Triphysaria versicolor,Bare species,native,,9716,TRIVER,,Triphysaria versicolor Fisch. & C.A. Mey. 
Dicotyledons,Orobanchaceae,Triphysaria versicolor ssp. versicolor,Accepted,Triphysaria versicolor ssp. versicolor,,native,,4208,TRIVERVER,,Triphysaria versicolor Fisch. & C.A. Mey. ssp. versicolor 
Dicotyledons,Oxalidaceae,Oxalis albicans,Accepted,Oxalis albicans,,"exotic, not naturalized",,14839,OXAALB,,"Oxalis albicans 	Kunth "
Dicotyledons,Oxalidaceae,Oxalis articulata,Accepted,Oxalis articulata,,"exotic, naturalized",,14220,OXAART,,Oxalis articulata Savigny 
Dicotyledons,Oxalidaceae,Oxalis articulata ssp. rubra,Synonym,Oxalis articulata,,,,14220,OXAARTRUB,,Oxalis articulata Savigny ssp. rubra (A. St.-Hil.) Lourteig 
Dicotyledons,Oxalidaceae,Oxalis corniculata,Accepted,Oxalis corniculata,,"exotic, naturalized",,2885,OXACOR,,Oxalis corniculata L. 
Dicotyledons,Oxalidaceae,Oxalis debilis,Accepted,Oxalis debilis,,"exotic, naturalized",,14052,OXADEB,,Oxalis debilis Kunth 
Dicotyledons,Oxalidaceae,Oxalis debilis var. corymbosa,Synonym,Oxalis debilis,,,,14052,OXADEBCOR,,Oxalis debilis Kunth var. corymbosa (DC.) Lourteig 
Dicotyledons,Oxalidaceae,Oxalis dillenii,Accepted,Oxalis dillenii,,"exotic, naturalized",,2891,OXADIL,,Oxalis dillenii Jacq. 
Dicotyledons,Oxalidaceae,Oxalis incarnata,Accepted,Oxalis incarnata,,"exotic, not naturalized",,13975,OXAINC,,Oxalis incarnata L. 
Dicotyledons,Oxalidaceae,Oxalis oregana,Accepted,Oxalis oregana,Bare species,native,,14864,OXAORE,,Oxalis oregana Nutt. ex Torr. & A. Gray 
Dicotyledons,Oxalidaceae,Oxalis oregana var. oregana,Accepted,Oxalis oregana var. oregana,,native,,2890,OXAOREORE,,Oxalis oregana Nutt. ex Torr. & A. Gray var. oregana 
Dicotyledons,Oxalidaceae,Oxalis oregana var. smalliana,Accepted,Oxalis oregana var. smalliana,,native,,14863,OXAORESMA,,Oxalis oregana Nutt. ex Torr. & A. Gray var. smalliana (Kunth) M. Peck 
Dicotyledons,Oxalidaceae,Oxalis pes-caprae,Accepted,Oxalis pes-caprae,,"exotic, not naturalized",,14442,OXAPES,,Oxalis pes-caprae L. 
Dicotyledons,Oxalidaceae,Oxalis rubra,Synonym,Oxalis articulata,,,,14220,OXARUB,,Oxalis rubra A. St.-Hil. 
Dicotyledons,Oxalidaceae,Oxalis suksdorfii,Accepted,Oxalis suksdorfii,,native,,2892,OXASUK,,Oxalis suksdorfii Trel. 
Dicotyledons,Oxalidaceae,Oxalis trilliifolia,Accepted,Oxalis trilliifolia,,native,,2893,OXATRI,,Oxalis trilliifolia Hook. 
Dicotyledons,Paeoniaceae,Paeonia brownii,Accepted,Paeonia brownii,,native,,2897,PAEBRO,,Paeonia brownii Douglas ex Hook. 
Dicotyledons,Papaveraceae,Argemone munita,Accepted,Argemone munita,Bare species,native,,9436,ARGMUN,,Argemone munita Durand & Hilg. 
Dicotyledons,Papaveraceae,Argemone munita ssp. rotundata,Accepted,Argemone munita ssp. rotundata,,native,,345,ARGMUNROT,,Argemone munita Durand & Hilg. ssp. rotundata (Rydb.) G.B. Ownbey 
Dicotyledons,Papaveraceae,Argemone platyceras var. hispida,Misapplied,Argemone munita ssp. rotundata,,,,345,ARGPLAHIS,,Argemone platyceras Link & Otto var. hispida (A. Gray) Prain 
Dicotyledons,Papaveraceae,Canbya aurea,Accepted,Canbya aurea,,native,,718,CANAUR,,Canbya aurea S. Watson 
Dicotyledons,Papaveraceae,Chelidonium majus,Accepted,Chelidonium majus,,"exotic, not naturalized",,14768,CHEMAJ,,Chelidonium majus L. 
Dicotyledons,Papaveraceae,Corydalis aquae-gelidae,Accepted,Corydalis aquae-gelidae,,native,,1186,CORAQU,,Corydalis aquae-gelidae M. Peck & W.C. Wilson 
Dicotyledons,Papaveraceae,Corydalis aqua-gelidae,Synonym,Corydalis aquae-gelidae,,,,1186,CORAQU2,,Corydalis aqua-gelidae M. Peck & W.C. Wilson 
Dicotyledons,Papaveraceae,Corydalis aurea,Accepted,Corydalis aurea,Bare species,native,,9931,CORAUR,,Corydalis aurea Willd. 
Dicotyledons,Papaveraceae,Corydalis aurea ssp. aurea,Accepted,Corydalis aurea ssp. aurea,,native,,1214,CORAURAUR,,Corydalis aurea Willd. ssp. aurea 
Dicotyledons,Papaveraceae,Corydalis aurea ssp. occidentalis,Misapplied,Corydalis aurea ssp. aurea,,,,1214,CORAUROCC2,,Corydalis aurea Willd. ssp. occidentalis (Engelm. ex A. Gray) G.B. Ownbey 
Dicotyledons,Papaveraceae,Corydalis aurea var. aurea,Synonym,Corydalis aurea ssp. aurea,,,,1214,CORAURAUR2,,Corydalis aurea Willd. var. aurea 
Dicotyledons,Papaveraceae,Corydalis aurea var. occidentalis,Misapplied,Corydalis aurea ssp. aurea,,,,1214,CORAUROCC,,Corydalis aurea Willd. var. occidentalis Engelm. 
Dicotyledons,Papaveraceae,Corydalis caseana,Accepted,Corydalis caseana,Bare species,native,,9343,CORCAS,,Corydalis caseana A. Gray 
Dicotyledons,Papaveraceae,Corydalis caseana ssp. cusickii,Accepted,Corydalis caseana ssp. cusickii,,native,,1193,CORCASCUS2,,Corydalis caseana A. Gray ssp. cusickii (S. Watson) G.B. Ownbey 
Dicotyledons,Papaveraceae,Corydalis caseana var. cusickii,Synonym,Corydalis caseana ssp. cusickii,,,,1193,CORCASCUS,,Corydalis caseana A. Gray var. cusickii (S. Watson) C.L. Hitchc. 
Dicotyledons,Papaveraceae,Corydalis cusickii,Synonym,Corydalis caseana ssp. cusickii,,,,1193,CORCUS,,Corydalis cusickii S. Watson 
Dicotyledons,Papaveraceae,Corydalis lutea,Accepted,Corydalis lutea,,"exotic, not naturalized",,4773,CORLUT,,Corydalis lutea DC. 
Dicotyledons,Papaveraceae,Corydalis scouleri,Accepted,Corydalis scouleri,,native,,1237,CORSCO,,Corydalis scouleri Hook. 
